title,description,genre,duration,rating
Drop,"A widowed mother&apos;s first date in years takes a terrifying turn when she&apos;s bombarded with anonymous threatening messages on her phone during their upscale dinner, leaving her questioning if her charming date is behind the harassment.","Drama, Mystery, Thriller",PT1H35M,6.6
Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","Action, Drama, Horror",PT2H17M,N/A
Den stygge stesøsteren,"Follows Elvira as she battles against her gorgeous stepsister in a realm where beauty reigns supreme. She resorts to extreme measures to captivate the prince, amidst a ruthless competition for physical perfection.","Comedy, Drama, Horror",PT1H50M,7.2
Dead Mail,"An ominous help note finds its way to a 1980s post office, connecting a dead letter investigator to a kidnapped keyboard technician.","Crime, Drama, Horror",PT1H46M,6.7
Until Dawn,"A group of friends trapped in a time loop, where mysterious foes are chasing and killing them in gruesome ways, must survive until dawn to escape it.","Drama, Horror",PT1H43M,N/A
The Shrouds,"Karsh, an innovative businessman and grieving widower, builds a device to connect with the dead inside a burial shroud.","Drama, Horror, Sci-Fi",PT1H59M,6
Skill House,"A dark satire of social media and influencer culture, unflinching take on fame and what new celebrities are willing to do to attain it.",Horror,,4.7
Clown in a Cornfield,"A fading midwestern town in which Frendo the clown, a symbol of bygone success, reemerges as a terrifying scourge.","Comedy, Horror",PT1H36M,6.2
Final Destination: Bloodlines,"Plagued by a recurring violent nightmare, a college student returns home to find the one person who can break the cycle and save her family from the horrific fate that inevitably awaits them.",Horror,PT1H50M,N/A
Bring Her Back,A brother and sister uncover a terrifying ritual at the secluded home of their new foster mother.,"Horror, Mystery, Thriller",,N/A
Dangerous Animals,"When Zephyr, a savvy and free-spirited surfer, is abducted by a shark-obsessed serial killer and held captive on his boat, she must figure out how to escape before he carries out a ritualistic feeding to the sharks below.","Horror, Thriller",,N/A
The Ritual,"Two priests, one in crisis with his faith and the other confronting a turbulent past, must overcome their differences to perform a risky exorcism.",Horror,,N/A
28 Years Later,"A group of survivors of the rage virus lives on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other s...","Horror, Thriller",,N/A
M3GAN 2.0,"Two years after M3GAN&apos;s rampage, her creator, Gemma, resorts to resurrecting her infamous creation in order to take down Amelia, the military-grade weapon who was built by a defense contractor who stole M3GAN&apos;s underlying tech.","Action, Horror, Sci-Fi",,N/A
I Know What You Did Last Summer,A group of friends are terrorized by a stalker who knows about a gruesome incident from their past.,Horror,,N/A
Together,"A couple&apos;s move to the countryside triggers a supernatural incident that drastically alters their relationship, existence and physical form.","Horror, Sci-Fi",PT1H42M,7
Weapons,"An interrelated, multistory horror epic about the disappearance of high school students in a small town.","Horror, Mystery, Thriller",,N/A
The Toxic Avenger,"A horrible toxic accident transforms downtrodden janitor, Winston Gooze into a new evolution of hero: The Toxic Avenger.","Action, Comedy, Horror",PT1H42M,6
The Conjuring: Last Rites,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,"Horror, Mystery, Thriller",,N/A
The Long Walk,"A group of teenage boys compete in an annual contest known as &quot;The Long Walk,&quot; where they must maintain a certain walking speed or get shot.",Horror,,N/A
Him,A promising young football player joins an isolated compound to train under a dynasty team&apos;s aging quarterback.,"Horror, Sport",,N/A
The Strangers: Chapter 2,"On the final day of their cross country road trip, a couple&apos;s vehicle breaks down, forcing them to take refuge in a remote Airbnb. As night falls, three masked strangers terrorize them until dawn.","Horror, Mystery",PT2H42M,N/A
Black Phone 2,,Horror,,N/A
The Third Parent,"Amidst the 4th of July celebration, a disturbing figure named Tommy Taffy emerges, disguising himself as a human to infiltrate a suburban neighborhood and impose authoritarian rule over an unsuspecting family.","Horror, Sci-Fi, Thriller",,N/A
Predator: Badlands,Plot is under wraps.,"Horror, Sci-Fi",,N/A
Frankenstein,A brilliant but egotistical scientist brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation,"Drama, Horror, Sci-Fi",,N/A
Five Nights at Freddy&apos;s 2,"1987, after a rather unstable life, Jeremy Fitzgerald found work as a security guard at the new Freddy&apos;s Fazbear Pizzeria, but when he entered there he would realize that not everything there is as it seems.","Horror, Mystery, Thriller",,N/A
IT: Welcome to Derry,"It will follow the events in the 1960s, the time leading up to the events of the first film in the Stephen King It series.",Horror,,N/A
SOULM8TE,"A man acquires an Artificially Intelligent android to cope with the loss of his recently deceased wife. In an attempt to create a truly sentient partner, he inadvertently turns a harmless lovebot into a deadly soulmate.","Sci-Fi, Thriller",,N/A
28 Years Later: The Bone Temple,,"Horror, Thriller",,N/A
Send Help,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it&apos;s a battle of wills and wits to make it o...",Horror,,N/A
Scream 7,Plot unknown.,"Horror, Mystery, Thriller",,N/A
The Bride,"In 1930s Chicago, Frankenstein asks Dr. Euphronius to help create a companion. They give life to a murdered woman as the Bride, sparking romance, police interest, and radical social change.","Drama, Horror, Musical",,N/A
Untitled the Exorcist/Mike Flanagan Project,,Horror,,N/A
Flowervale Street,A family in the 80s start to notice bizarre happenings in their neighborhood.,"Mystery, Thriller",,N/A
The Mummy,,Horror,,N/A
Scary Movie 6,,"Comedy, Horror",,N/A
Thread: An Insidious Tale,"A couple resorts to a spell to travel back in time, hoping to prevent their daughter&apos;s tragic death.","Horror, Mystery, Sci-Fi",,N/A
Clayface,"A shape-shifting creature made of magical clay haunts Gotham City, alternating between villain and ally of Batman. Multiple tragic figures have taken on the Clayface mantle over the years.","Action, Adventure, Fantasy",,N/A
Resident Evil,Follows a hapless courier tasked with delivering a package to a remote hospital. He soon finds himself caught in the middle of an outbreak and must fight through hordes of mutated creatures to survive.,"Horror, Mystery",,N/A
Untitled Jordan Peele Project,,"Horror, Mystery, Thriller",,N/A
Werwulf,,Horror,,N/A
Terrifier 4,,Horror,,N/A
Saw XI,,Horror,,N/A
They Follow,,Horror,,N/A
Wolf Creek: Legacy,"A family of American tourists wander innocently into Taylor&apos;s hunting grounds. When the parents sacrifice themselves to save their children, the kids find themselves alone, lost and hunted in the vast Australian wilderness.","Action, Horror, Thriller",,N/A
Vicious,A woman spends the night fighting for her existence as she slips down a rabbit hole contained inside a gift from a late-night visitor,Horror,,N/A
Hell of a Summer,The counselors of a summer camp are terrorized by a masked killer.,"Comedy, Horror, Mystery",PT1H28M,6
The Woman in the Yard,"A mysterious woman repeatedly appears in a family&apos;s front yard, often delivering chilling warnings and unsettling messages, leaving them to question her identity, motives and the potential danger she might pose.","Drama, Horror, Thriller",PT1H28M,5.6
The Monkey,"When twin brothers Bill and Hal find their father&apos;s old monkey toy in the attic, a series of gruesome deaths start. The siblings decide to throw the toy away and move on with their lives, growing apart over the years.",Horror,PT1H38M,6.1
Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.","Fantasy, Horror, Mystery",PT2H12M,7.2
Smile 2,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past.","Horror, Mystery, Thriller",PT2H7M,6.7
The Substance,"A fading celebrity takes a black-market drug: a cell-replicating substance that creates a younger, better version of herself.","Drama, Horror, Sci-Fi",PT2H21M,7.3
Wolf Man,"A family at a remote farmhouse is attacked by an unseen animal, but as the night stretches on, the father begins to transform into something unrecognizable.",Horror,PT1H43M,5.6
Terrifier 3,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.,Horror,PT2H5M,6.3
Presence,A family becomes convinced they are not alone after moving into their new home in the suburbs.,"Drama, Horror, Thriller",PT1H24M,6.1
Companion,A weekend getaway with friends at a remote cabin turns into chaos after it&apos;s revealed that one of the guests is not what they seem.,"Sci-Fi, Thriller",PT1H37M,7
Screamboat,"On the last ferry of the night in New York, passengers and crew are hunted by a merciless rat, and what should have been a peaceful crossing turns into a bloody massacre.","Comedy, Horror",PT1H42M,4
Heart Eyes,"For the past several years, the &quot;Heart Eyes Killer&quot; has wreaked havoc on Valentine&apos;s Day by stalking and murdering romantic couples. This Valentine&apos;s Day, no couple is safe.","Comedy, Horror, Mystery",PT1H37M,6.1
